0,1,2,3,4,5,6,7,8,9,10,11,2.2361,1.4142,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,2.8284,2.4495,3.3166,4.2426,5.1962,6.1644,7.1414,8.124,9.1104,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,9.0554,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,4.2426,5.1962,6.1644,7.1414,8.124,9.1104,3,2.4495,2.2361,2.4495,3,3.7417,4.5826,5.4772,6.4031,7.3485,8.3066,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,4.5826,4.2426,4.1231,4.2426,3,3.7417,4.5826,5.4772,6.4031,7.3485,8.3066,9.2736,10.247,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,8.2462,9.2195,2.4495,2.2361,2.4495,3,3.7417,4.5826,5.4772,8.3066,9.2736,3.4641,3,2.8284,8.4853,4.1231,3.7417,3.6056,5.3852,4.899,4.5826,4.4721,6.1644,5.7446,5.4772,3.7417,4.3589,5.099,5.9161,6.7823,7.6811,8.6023,9.5394,10.488,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,9.4868,10.44,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,8.6023,9.5394,10.488,4.1231,3.7417,3.6056,4.6904,4.3589,4.2426,5.3852,5.099,5,6.5574,6.1644,5.9161,5.831,7.3485,7,6.7823,4.5826,4.4721,4.1231,4.5826,4.2426,4.899,4.5826,4.4721,5.3852,5.099,5,6,5.7446,5.6569,5.7446,6.7082,6.4807,6.4031,6.4807,7.2801,7.2111,8.0623,8.9443,5.4772,5.3852,5.4772,5.7446,5.4772,6.1644,5.9161,5.831,6.7082,6.4807,6.4031,6.4807,7.3485,7.1414,7.0711,7.1414,7.874,7.8102,8.6023,6.7823,6.4031,6.7082,6.3246,6.7823,6.4031,7,6.6332,6.4031,7.3485,7,6.7823,7.8102,7.4833,7.2801,7.2111,8.0623,7.874,7.8102,8.544,7.6811,7.6158,7.6811,7.3485,7.874,7.5498,8.1854,7.874,7.6811,8.6023,8.3066,8.124,9.1104,8.8318,8.6603,9.6954,9.434,9.2736,10.1,9.9499,8.544,8.6023,8.3066,8.775,8.4853,9.0554,8.775,8.6023,9.434,9.1652,9,9.8995,9.6437,9.4868,10.44,10.198,10.05,11.045,10.817,10.677,11.705,11.489,11.358,12.083,9.6954,9.9499,9.6954,10.296,10.05,10.724,10.488,11.225,11,10.863,11.79,11.576,11.446,12.41,12.207,12.083,12.767
1,0,1,2,3,4,5,6,7,8,9,10,3.1623,2.2361,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,3.6056,1.7321,2.4495,3.3166,4.2426,5.1962,6.1644,7.1414,8.124,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,8.0623,3.3166,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,4.2426,5.1962,6.1644,7.1414,8.124,3.7417,3,2.4495,2.2361,2.4495,3,3.7417,4.5826,5.4772,6.4031,7.3485,4.3589,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,4.5826,4.2426,4.1231,2.4495,3,3.7417,4.5826,5.4772,6.4031,7.3485,8.3066,9.2736,2.2361,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,8.2462,3,2.4495,2.2361,2.4495,3,3.7417,4.5826,7.3485,8.3066,4.1231,3.4641,3,7.5498,4.6904,4.1231,3.7417,6,5.3852,4.899,4.5826,6.7082,6.1644,5.7446,3.3166,3.7417,4.3589,5.099,5.9161,6.7823,7.6811,8.6023,9.5394,4.2426,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,9.4868,4.3589,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,7.6811,8.6023,9.5394,4.6904,4.1231,3.7417,5.1962,4.6904,4.3589,5.831,5.3852,5.099,7.0711,6.5574,6.1644,5.9161,7.8102,7.3485,7,5.099,5,4.4721,5.099,4.5826,5.3852,4.899,4.5826,5.831,5.3852,5.099,6.4031,6,5.7446,5.6569,7.0711,6.7082,6.4807,6.4031,7.4833,7.2801,8.124,9,5.9161,5.831,5.9161,6.1644,5.7446,6.5574,6.1644,5.9161,7.0711,6.7082,6.4807,6.4031,7.6811,7.3485,7.1414,7.0711,8.0623,7.874,8.6603,7.2801,6.7823,7.2111,6.7082,7.2801,6.7823,7.4833,7,6.6332,7.8102,7.3485,7,8.2462,7.8102,7.4833,7.2801,8.3666,8.0623,7.874,8.7178,8.124,8.0623,8.124,7.6811,8.3066,7.874,8.6023,8.1854,7.874,9,8.6023,8.3066,9.4868,9.1104,8.8318,10.05,9.6954,9.434,10.344,10.1,8.9443,9,8.6023,9.1652,8.775,9.434,9.0554,8.775,9.798,9.434,9.1652,10.247,9.8995,9.6437,10.77,10.44,10.198,11.358,11.045,10.817,12,11.705,11.489,12.207,10.05,10.296,9.9499,10.63,10.296,11.045,10.724,11.533,11.225,11,12.083,11.79,11.576,12.689,12.41,12.207,12.884
2,1,0,1,2,3,4,5,6,7,8,9,4.1231,3.1623,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,4.4721,1.4142,1.7321,2.4495,3.3166,4.2426,5.1962,6.1644,7.1414,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,7.0711,4.2426,3.3166,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,4.2426,5.1962,6.1644,7.1414,4.5826,3.7417,3,2.4495,2.2361,2.4495,3,3.7417,4.5826,5.4772,6.4031,5.099,4.3589,3.7417,3.3166,3.1623,3.3166,3.7417,5.7446,5.099,4.5826,4.2426,2.2361,2.4495,3,3.7417,4.5826,5.4772,6.4031,7.3485,8.3066,2.8284,2.2361,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,3.7417,3,2.4495,2.2361,2.4495,3,3.7417,6.4031,7.3485,4.899,4.1231,3.4641,6.6332,5.3852,4.6904,4.1231,6.7082,6,5.3852,4.899,7.3485,6.7082,6.1644,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,6.7823,7.6811,8.6023,5,4.2426,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,5.099,4.3589,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,6.7823,7.6811,8.6023,5.3852,4.6904,4.1231,5.831,5.1962,4.6904,6.4031,5.831,5.3852,7.6811,7.0711,6.5574,6.1644,8.3666,7.8102,7.3485,5.7446,5.6569,5,5.7446,5.099,6,5.3852,4.899,6.4031,5.831,5.3852,6.9282,6.4031,6,5.7446,7.5498,7.0711,6.7082,6.4807,7.8102,7.4833,8.3066,9.1652,6.4807,6.4031,6.4807,6.7082,6.1644,7.0711,6.5574,6.1644,7.5498,7.0711,6.7082,6.4807,8.124,7.6811,7.3485,7.1414,8.3666,8.0623,8.8318,7.874,7.2801,7.8102,7.2111,7.874,7.2801,8.0623,7.4833,7,8.3666,7.8102,7.3485,8.775,8.2462,7.8102,7.4833,8.775,8.3666,8.0623,9,8.6603,8.6023,8.6603,8.124,8.8318,8.3066,9.1104,8.6023,8.1854,9.4868,9,8.6023,9.9499,9.4868,9.1104,10.488,10.05,9.6954,10.677,10.344,9.434,9.4868,9,9.6437,9.1652,9.8995,9.434,9.0554,10.247,9.798,9.434,10.677,10.247,9.8995,11.18,10.77,10.44,11.747,11.358,11.045,12.369,12,11.705,12.41,10.488,10.724,10.296,11.045,10.63,11.446,11.045,11.916,11.533,11.225,12.45,12.083,11.79,13.038,12.689,12.41,13.077
3,2,1,0,1,2,3,4,5,6,7,8,5.099,4.1231,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,5.3852,1.7321,1.4142,1.7321,2.4495,3.3166,4.2426,5.1962,6.1644,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.0828,5.1962,4.2426,3.3166,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,4.2426,5.1962,6.1644,5.4772,4.5826,3.7417,3,2.4495,2.2361,2.4495,3,3.7417,4.5826,5.4772,5.9161,5.099,4.3589,3.7417,3.3166,3.1623,3.3166,6.4807,5.7446,5.099,4.5826,2.4495,2.2361,2.4495,3,3.7417,4.5826,5.4772,6.4031,7.3485,3.6056,2.8284,2.2361,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,4.5826,3.7417,3,2.4495,2.2361,2.4495,3,5.4772,6.4031,5.7446,4.899,4.1231,5.7446,6.1644,5.3852,4.6904,7.4833,6.7082,6,5.3852,8.0623,7.3485,6.7082,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,6.7823,7.6811,5.831,5,4.2426,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,5.831,6.7082,7.6158,5.9161,5.099,4.3589,3.7417,3.3166,3.1623,3.3166,3.7417,5.9161,6.7823,7.6811,6.1644,5.3852,4.6904,6.5574,5.831,5.1962,7.0711,6.4031,5.831,8.3666,7.6811,7.0711,6.5574,9,8.3666,7.8102,6.4807,6.4031,5.6569,6.4807,5.7446,6.7082,6,5.3852,7.0711,6.4031,5.831,7.5498,6.9282,6.4031,6,8.124,7.5498,7.0711,6.7082,8.2462,7.8102,8.6023,9.434,7.1414,7.0711,7.1414,7.3485,6.7082,7.6811,7.0711,6.5574,8.124,7.5498,7.0711,6.7082,8.6603,8.124,7.6811,7.3485,8.775,8.3666,9.1104,8.544,7.874,8.4853,7.8102,8.544,7.874,8.7178,8.0623,7.4833,9,8.3666,7.8102,9.3808,8.775,8.2462,7.8102,9.2736,8.775,8.3666,9.3808,9.2736,9.2195,9.2736,8.6603,9.434,8.8318,9.6954,9.1104,8.6023,10.05,9.4868,9,10.488,9.9499,9.4868,11,10.488,10.05,11.091,10.677,10,10.05,9.4868,10.198,9.6437,10.44,9.8995,9.434,10.77,10.247,9.798,11.18,10.677,10.247,11.662,11.18,10.77,12.207,11.747,11.358,12.806,12.369,12,12.689,11,11.225,10.724,11.533,11.045,11.916,11.446,12.369,11.916,11.533,12.884,12.45,12.083,13.454,13.038,12.689,13.342
4,3,2,1,0,1,2,3,4,5,6,7,6.0828,5.099,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,6.3246,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,4.2426,5.1962,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,5.099,6.1644,5.1962,4.2426,3.3166,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,4.2426,5.1962,6.4031,5.4772,4.5826,3.7417,3,2.4495,2.2361,2.4495,3,3.7417,4.5826,6.7823,5.9161,5.099,4.3589,3.7417,3.3166,3.1623,7.2801,6.4807,5.7446,5.099,3,2.4495,2.2361,2.4495,3,3.7417,4.5826,5.4772,6.4031,4.4721,3.6056,2.8284,2.2361,2,2.2361,2.8284,3.6056,4.4721,5.3852,5.4772,4.5826,3.7417,3,2.4495,2.2361,2.4495,4.5826,5.4772,6.6332,5.7446,4.899,4.899,7,6.1644,5.3852,8.3066,7.4833,6.7082,6,8.8318,8.0623,7.3485,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,6.7823,6.7082,5.831,5,4.2426,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,5.831,6.7082,6.7823,5.9161,5.099,4.3589,3.7417,3.3166,3.1623,3.3166,5.099,5.9161,6.7823,7,6.1644,5.3852,7.3485,6.5574,5.831,7.8102,7.0711,6.4031,9.1104,8.3666,7.6811,7.0711,9.6954,9,8.3666,7.2801,7.2111,6.4031,7.2801,6.4807,7.4833,6.7082,6,7.8102,7.0711,6.4031,8.2462,7.5498,6.9282,6.4031,8.775,8.124,7.5498,7.0711,8.775,8.2462,9,9.798,7.874,7.8102,7.874,8.0623,7.3485,8.3666,7.6811,7.0711,8.775,8.124,7.5498,7.0711,9.2736,8.6603,8.124,7.6811,9.2736,8.775,9.4868,9.2736,8.544,9.2195,8.4853,9.2736,8.544,9.434,8.7178,8.0623,9.6954,9,8.3666,10.05,9.3808,8.775,8.2462,9.8489,9.2736,8.775,9.8489,9.9499,9.8995,9.9499,9.2736,10.1,9.434,10.344,9.6954,9.1104,10.677,10.05,9.4868,11.091,10.488,9.9499,11.576,11,10.488,11.576,11.091,10.63,10.677,10.05,10.817,10.198,11.045,10.44,9.8995,11.358,10.77,10.247,11.747,11.18,10.677,12.207,11.662,11.18,12.728,12.207,11.747,13.304,12.806,12.369,13.038,11.576,11.79,11.225,12.083,11.533,12.45,11.916,12.884,12.369,11.916,13.379,12.884,12.45,13.928,13.454,13.038,13.675
5,4,3,2,1,0,1,2,3,4,5,6,7.0711,6.0828,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,7.2801,3.3166,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,4.2426,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,4.1231,7.1414,6.1644,5.1962,4.2426,3.3166,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,4.2426,7.3485,6.4031,5.4772,4.5826,3.7417,3,2.4495,2.2361,2.4495,3,3.7417,7.6811,6.7823,5.9161,5.099,4.3589,3.7417,3.3166,8.124,7.2801,6.4807,5.7446,3.7417,3,2.4495,2.2361,2.4495,3,3.7417,4.5826,5.4772,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361,2.8284,3.6056,4.4721,6.4031,5.4772,4.5826,3.7417,3,2.4495,2.2361,3.7417,4.5826,7.5498,6.6332,5.7446,4.1231,7.874,7,6.1644,9.1652,8.3066,7.4833,6.7082,9.6437,8.8318,8.0623,4.3589,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,7.6158,6.7082,5.831,5,4.2426,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,5.831,7.6811,6.7823,5.9161,5.099,4.3589,3.7417,3.3166,3.1623,4.3589,5.099,5.9161,7.874,7,6.1644,8.1854,7.3485,6.5574,8.6023,7.8102,7.0711,9.8995,9.1104,8.3666,7.6811,10.44,9.6954,9,8.124,8.0623,7.2111,8.124,7.2801,8.3066,7.4833,6.7082,8.6023,7.8102,7.0711,9,8.2462,7.5498,6.9282,9.4868,8.775,8.124,7.5498,9.3808,8.775,9.4868,10.247,8.6603,8.6023,8.6603,8.8318,8.0623,9.1104,8.3666,7.6811,9.4868,8.775,8.124,7.5498,9.9499,9.2736,8.6603,8.124,9.8489,9.2736,9.9499,10.05,9.2736,10,9.2195,10.05,9.2736,10.198,9.434,8.7178,10.44,9.6954,9,10.77,10.05,9.3808,8.775,10.488,9.8489,9.2736,10.392,10.677,10.63,10.677,9.9499,10.817,10.1,11.045,10.344,9.6954,11.358,10.677,10.05,11.747,11.091,10.488,12.207,11.576,11,12.124,11.576,11.314,11.358,10.677,11.489,10.817,11.705,11.045,10.44,12,11.358,10.77,12.369,11.747,11.18,12.806,12.207,11.662,13.304,12.728,12.207,13.856,13.304,12.806,13.454,12.207,12.41,11.79,12.689,12.083,13.038,12.45,13.454,12.884,12.369,13.928,13.379,12.884,14.457,13.928,13.454,14.071
6,5,4,3,2,1,0,1,2,3,4,5,8.0623,7.0711,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,8.2462,4.2426,3.3166,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,3.1623,8.124,7.1414,6.1644,5.1962,4.2426,3.3166,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,8.3066,7.3485,6.4031,5.4772,4.5826,3.7417,3,2.4495,2.2361,2.4495,3,8.6023,7.6811,6.7823,5.9161,5.099,4.3589,3.7417,9,8.124,7.2801,6.4807,4.5826,3.7417,3,2.4495,2.2361,2.4495,3,3.7417,4.5826,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361,2.8284,3.6056,7.3485,6.4031,5.4772,4.5826,3.7417,3,2.4495,3,3.7417,8.4853,7.5498,6.6332,3.4641,8.775,7.874,7,10.05,9.1652,8.3066,7.4833,10.488,9.6437,8.8318,5.099,4.3589,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,8.544,7.6158,6.7082,5.831,5,4.2426,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,8.6023,7.6811,6.7823,5.9161,5.099,4.3589,3.7417,3.3166,3.7417,4.3589,5.099,8.775,7.874,7,9.0554,8.1854,7.3485,9.434,8.6023,7.8102,10.724,9.8995,9.1104,8.3666,11.225,10.44,9.6954,9,8.9443,8.0623,9,8.124,9.1652,8.3066,7.4833,9.434,8.6023,7.8102,9.798,9,8.2462,7.5498,10.247,9.4868,8.775,8.124,10.05,9.3808,10.05,10.77,9.4868,9.434,9.4868,9.6437,8.8318,9.8995,9.1104,8.3666,10.247,9.4868,8.775,8.124,10.677,9.9499,9.2736,8.6603,10.488,9.8489,10.488,10.863,10.05,10.817,10,10.863,10.05,11,10.198,9.434,11.225,10.44,9.6954,11.533,10.77,10.05,9.3808,11.18,10.488,9.8489,11,11.446,11.402,11.446,10.677,11.576,10.817,11.79,11.045,10.344,12.083,11.358,10.677,12.45,11.747,11.091,12.884,12.207,11.576,12.728,12.124,12.042,12.083,11.358,12.207,11.489,12.41,11.705,11.045,12.689,12,11.358,13.038,12.369,11.747,13.454,12.806,12.207,13.928,13.304,12.728,14.457,13.856,13.304,13.928,12.884,13.077,12.41,13.342,12.689,13.675,13.038,14.071,13.454,12.884,14.526,13.928,13.379,15.033,14.457,13.928,14.526
7,6,5,4,3,2,1,0,1,2,3,4,9.0554,8.0623,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,9.2195,5.1962,4.2426,3.3166,2.4495,1.7321,1.4142,1.7321,2.4495,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,2.2361,9.1104,8.124,7.1414,6.1644,5.1962,4.2426,3.3166,2.4495,1.7321,1.4142,1.7321,2.4495,9.2736,8.3066,7.3485,6.4031,5.4772,4.5826,3.7417,3,2.4495,2.2361,2.4495,9.5394,8.6023,7.6811,6.7823,5.9161,5.099,4.3589,9.8995,9,8.124,7.2801,5.4772,4.5826,3.7417,3,2.4495,2.2361,2.4495,3,3.7417,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361,2.8284,8.3066,7.3485,6.4031,5.4772,4.5826,3.7417,3,2.4495,3,9.434,8.4853,7.5498,3,9.6954,8.775,7.874,10.954,10.05,9.1652,8.3066,11.358,10.488,9.6437,5.9161,5.099,4.3589,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,9.4868,8.544,7.6158,6.7082,5.831,5,4.2426,3.6056,3.1623,3,3.1623,3.6056,4.2426,9.5394,8.6023,7.6811,6.7823,5.9161,5.099,4.3589,3.7417,3.3166,3.7417,4.3589,9.6954,8.775,7.874,9.9499,9.0554,8.1854,10.296,9.434,8.6023,11.576,10.724,9.8995,9.1104,12.042,11.225,10.44,9.8995,9.8489,8.9443,9.8995,9,10.05,9.1652,8.3066,10.296,9.434,8.6023,10.63,9.798,9,8.2462,11.045,10.247,9.4868,8.775,10.77,10.05,10.677,11.358,10.344,10.296,10.344,10.488,9.6437,10.724,9.8995,9.1104,11.045,10.247,9.4868,8.775,11.446,10.677,9.9499,9.2736,11.18,10.488,11.091,11.705,10.863,11.662,10.817,11.705,10.863,11.832,11,10.198,12.042,11.225,10.44,12.329,11.533,10.77,10.05,11.916,11.18,10.488,11.662,12.247,12.207,12.247,11.446,12.369,11.576,12.57,11.79,11.045,12.845,12.083,11.358,13.191,12.45,11.747,13.601,12.884,12.207,13.379,12.728,12.806,12.845,12.083,12.961,12.207,13.153,12.41,11.705,13.416,12.689,12,13.748,13.038,12.369,14.142,13.454,12.806,14.595,13.928,13.304,15.1,14.457,13.856,14.457,13.601,13.784,13.077,14.036,13.342,14.353,13.675,14.731,14.071,13.454,15.166,14.526,13.928,15.652,15.033,14.457,15.033
8,7,6,5,4,3,2,1,0,1,2,3,10.05,9.0554,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,10.198,6.1644,5.1962,4.2426,3.3166,2.4495,1.7321,1.4142,1.7321,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,1.4142,10.1,9.1104,8.124,7.1414,6.1644,5.1962,4.2426,3.3166,2.4495,1.7321,1.4142,1.7321,10.247,9.2736,8.3066,7.3485,6.4031,5.4772,4.5826,3.7417,3,2.4495,2.2361,10.488,9.5394,8.6023,7.6811,6.7823,5.9161,5.099,10.817,9.8995,9,8.124,6.4031,5.4772,4.5826,3.7417,3,2.4495,2.2361,2.4495,3,8.2462,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,2.2361,9.2736,8.3066,7.3485,6.4031,5.4772,4.5826,3.7417,2.2361,2.4495,10.392,9.434,8.4853,2.8284,10.63,9.6954,8.775,11.874,10.954,10.05,9.1652,12.247,11.358,10.488,6.7823,5.9161,5.099,4.3589,3.7417,3.3166,3.1623,3.3166,3.7417,10.44,9.4868,8.544,7.6158,6.7082,5.831,5,4.2426,3.6056,3.1623,3,3.1623,3.6056,10.488,9.5394,8.6023,7.6811,6.7823,5.9161,5.099,4.3589,3.1623,3.3166,3.7417,10.63,9.6954,8.775,10.863,9.9499,9.0554,11.18,10.296,9.434,12.45,11.576,10.724,9.8995,12.884,12.042,11.225,10.817,10.77,9.8489,10.817,9.8995,10.954,10.05,9.1652,11.18,10.296,9.434,11.489,10.63,9.798,9,11.874,11.045,10.247,9.4868,11.533,10.77,11.358,12,11.225,11.18,11.225,11.358,10.488,11.576,10.724,9.8995,11.874,11.045,10.247,9.4868,12.247,11.446,10.677,9.9499,11.916,11.18,11.747,12.57,11.705,12.53,11.662,12.57,11.705,12.689,11.832,11,12.884,12.042,11.225,13.153,12.329,11.533,10.77,12.689,11.916,11.18,12.369,13.077,13.038,13.077,12.247,13.191,12.369,13.379,12.57,11.79,13.638,12.845,12.083,13.964,13.191,12.45,14.353,13.601,12.884,14.071,13.379,13.601,13.638,12.845,13.748,12.961,13.928,13.153,12.41,14.177,13.416,12.689,14.491,13.748,13.038,14.866,14.142,13.454,15.297,14.595,13.928,15.78,15.1,14.457,15.033,14.353,14.526,13.784,14.765,14.036,15.067,14.353,15.427,14.731,14.071,15.843,15.166,14.526,16.31,15.652,15.033,15.588
9,8,7,6,5,4,3,2,1,0,1,2,11.045,10.05,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,11.18,7.1414,6.1644,5.1962,4.2426,3.3166,2.4495,1.7321,1.4142,9.0554,8.0623,7.0711,6.0828,5.099,4.1231,3.1623,2.2361,1.4142,1,11.091,10.1,9.1104,8.124,7.1414,6.1644,5.1962,4.2426,3.3166,2.4495,1.7321,1.4142,11.225,10.247,9.2736,8.3066,7.3485,6.4031,5.4772,4.5826,3.7417,3,2.4495,11.446,10.488,9.5394,8.6023,7.6811,6.7823,5.9161,11.747,10.817,9.8995,9,7.3485,6.4031,5.4772,4.5826,3.7417,3,2.4495,2.2361,2.4495,9.2195,8.2462,7.2801,6.3246,5.3852,4.4721,3.6056,2.8284,2.2361,2,10.247,9.2736,8.3066,7.3485,6.4031,5.4772,4.5826,2.4495,2.2361,11.358,10.392,9.434,3,11.576,10.63,9.6954,12.806,11.874,10.954,10.05,13.153,12.247,11.358,7.6811,6.7823,5.9161,5.099,4.3589,3.7417,3.3166,3.1623,3.3166,11.402,10.44,9.4868,8.544,7.6158,6.7082,5.831,5,4.2426,3.6056,3.1623,3,3.1623,11.446,10.488,9.5394,8.6023,7.6811,6.7823,5.9161,5.099,3.3166,3.1623,3.3166,11.576,10.63,9.6954,11.79,10.863,9.9499,12.083,11.18,10.296,13.342,12.45,11.576,10.724,13.748,12.884,12.042,11.747,11.705,10.77,11.747,10.817,11.874,10.954,10.05,12.083,11.18,10.296,12.369,11.489,10.63,9.798,12.728,11.874,11.045,10.247,12.329,11.533,12.083,12.689,12.124,12.083,12.124,12.247,11.358,12.45,11.576,10.724,12.728,11.874,11.045,10.247,13.077,12.247,11.446,10.677,12.689,11.916,12.45,13.454,12.57,13.416,12.53,13.454,12.57,13.565,12.689,11.832,13.748,12.884,12.042,14,13.153,12.329,11.533,13.491,12.689,11.916,13.115,13.928,13.892,13.928,13.077,14.036,13.191,14.213,13.379,12.57,14.457,13.638,12.845,14.765,13.964,13.191,15.133,14.353,13.601,14.799,14.071,14.422,14.457,13.638,14.56,13.748,14.731,13.928,13.153,14.967,14.177,13.416,15.264,14.491,13.748,15.62,14.866,14.142,16.031,15.297,14.595,16.492,15.78,15.1,15.652,15.133,15.297,14.526,15.524,14.765,15.811,15.067,16.155,15.427,14.731,16.553,15.843,15.166,17,16.31,15.652,16.186
