0,1,1.4142,2.2361,2.2361,2.8284,3.6056,4.4721,3.1623,3.6056,4.2426,5,5.831,4.4721,5,5.6569,6.4031,7.2111,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,9.434,6.7082,7.2111,7.8102,8.4853,9.2195,10,10.817,8.0623,8.6023,9.2195,9.8995,10.63,10,10.63,11.314,11.402,2.2361,1.4142,1.7321,1,1.4142,2.2361,1.4142,1.7321,2.4495,3.3166,4.2426,2.2361,2.4495,3,3.7417,4.5826,3.3166,3.7417,4.3589,5.099,5.9161,4.2426,4.5826,5.099,5.7446,6.4807,7.2801,5.1962,5.4772,5.9161,6.4807,7.1414,7.874,8.6603,9.4868,6.4031,6.7823,7.2801,7.874,8.544,9.2736,10.05,10.863,7.6811,8.124,8.6603,9.2736,9.9499,10.677,9,9.4868,10.05,10.677,11.358,10.863,11.446,12.083,2.8284,2.2361,2.4495,2,2.2361,2.8284,2.2361,2.4495,3,3.7417,4.5826,2.8284,3,3.4641,4.1231,4.899,3.7417,4.1231,4.6904,5.3852,6.1644,4.5826,4.899,5.3852,6,6.7082,7.4833,8.3066,5.4772,5.7446,6.1644,6.7082,7.3485,8.0623,8.8318,9.6437,6.6332,7,7.4833,8.0623,8.7178,9.434,10.198,7.874,8.3066,8.8318,9.434,10.1,10.817,9.1652,9.6437,10.198,10.817,11.489,10.488,11,11.576,12.207,3.6056,3.1623,3.3166,3,3.1623,3.6056,3.1623,3.3166,3.7417,4.3589,3.7417,4.1231,4.6904,5.3852,4.3589,4.6904,5.1962,5.831,6.5574,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,6.1644,6.5574,7.0711,7.6811,8.3666,9.1104,9.8995,7,7.3485,7.8102,8.3666,9,9.6954,10.44,8.1854,8.6023,9.1104,9.6954,10.344,11.045,9.434,9.8995,10.44,11.045,10.724,11.225,4.5826,4.2426,4.1231,4.4721,4.2426,4.5826,5.099,4.5826,4.899,5.3852,6,5.099,5.3852,5.831,6.4031,7.0711,6,6.4031,6.9282,7.5498,8.2462,6.7082,7.0711,7.5498,8.124,8.775,9.4868,7.4833,7.8102,8.2462,8.775,9.3808,10.05,10.77,8.6023,9,9.4868,10.05,10.677,11.358,9.798,10.247,10.77,11.358,11.533,5.4772,5.1962,5.099,5.3852,5.4772,5.9161,5.7446,6.1644,6.1644,6.5574,7.0711,7.0711,7.5498,8.124,7.6811,8.124,8.6603,9.2736,8.775,9.2736,9.8489,9.4868,9.9499,10.488,10.247,10.677,6.4031,6.6332,7,7.3485,7.8102,7.8102,8.2462,8.775,8.3666,8.775,9.2736,9.8489,9.3808,9.8489,10.488
1,0,1,1.4142,2,2.2361,2.8284,3.6056,3,3.1623,3.6056,4.2426,5,4.1231,4.4721,5,5.6569,6.4031,5.099,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,6.3246,6.7082,7.2111,7.8102,8.4853,9.2195,10,7.6158,8.0623,8.6023,9.2195,9.8995,9.434,10,10.63,10.817,2.4495,1.7321,1.4142,1.4142,1,1.4142,1.7321,1.4142,1.7321,2.4495,3.3166,2.4495,2.2361,2.4495,3,3.7417,3.1623,3.3166,3.7417,4.3589,5.099,4.1231,4.2426,4.5826,5.099,5.7446,6.4807,5.099,5.1962,5.4772,5.9161,6.4807,7.1414,7.874,8.6603,6.1644,6.4031,6.7823,7.2801,7.874,8.544,9.2736,10.05,7.3485,7.6811,8.124,8.6603,9.2736,9.9499,8.6023,9,9.4868,10.05,10.677,10.344,10.863,11.446,3,2.4495,2.2361,2.2361,2,2.2361,2.4495,2.2361,2.4495,3,3.7417,3,2.8284,3,3.4641,4.1231,3.6056,3.7417,4.1231,4.6904,5.3852,4.4721,4.5826,4.899,5.3852,6,6.7082,7.4833,5.3852,5.4772,5.7446,6.1644,6.7082,7.3485,8.0623,8.8318,6.4031,6.6332,7,7.4833,8.0623,8.7178,9.434,7.5498,7.874,8.3066,8.8318,9.434,10.1,8.775,9.1652,9.6437,10.198,10.817,10.05,10.488,11,11.576,3.7417,3.3166,3.1623,3.1623,3,3.1623,3.3166,3.1623,3.3166,3.7417,3.6056,3.7417,4.1231,4.6904,4.2426,4.3589,4.6904,5.1962,5.831,5.099,5.3852,5.831,6.4031,7.0711,7.8102,5.9161,6.1644,6.5574,7.0711,7.6811,8.3666,9.1104,6.7823,7,7.3485,7.8102,8.3666,9,9.6954,7.874,8.1854,8.6023,9.1104,9.6954,10.344,9.0554,9.434,9.8995,10.44,10.296,10.724,4.4721,4.1231,4,4.1231,4.1231,4.2426,4.5826,4.4721,4.5826,4.899,5.3852,5,5.099,5.3852,5.831,6.4031,5.7446,6,6.4031,6.9282,7.5498,6.4807,6.7082,7.0711,7.5498,8.124,8.775,7.2801,7.4833,7.8102,8.2462,8.775,9.3808,10.05,8.3066,8.6023,9,9.4868,10.05,10.677,9.434,9.798,10.247,10.77,11.045,5.3852,5.099,5,5.099,5.1962,5.4772,5.4772,5.7446,5.9161,6.1644,6.5574,6.7082,7.0711,7.5498,7.3485,7.6811,8.124,8.6603,8.3666,8.775,9.2736,9.1104,9.4868,9.9499,9.8995,10.247,6.1644,6.4031,6.6332,7,7.3485,7.4833,7.8102,8.2462,8.0623,8.3666,8.775,9.2736,9,9.3808,10.05
1.4142,1,0,1,1,1.4142,2.2361,3.1623,2,2.2361,2.8284,3.6056,4.4721,3.1623,3.6056,4.2426,5,5.831,4.1231,4.4721,5,5.6569,6.4031,7.2111,8.0623,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,9.434,6.7082,7.2111,7.8102,8.4853,9.2195,8.6023,9.2195,9.8995,10,3.3166,2.4495,2.2361,1.7321,1.4142,1.7321,1.4142,1,1.4142,2.2361,3.1623,1.7321,1.4142,1.7321,2.4495,3.3166,2.2361,2.4495,3,3.7417,4.5826,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,4.1231,4.2426,4.5826,5.099,5.7446,6.4807,7.2801,8.124,5.1962,5.4772,5.9161,6.4807,7.1414,7.874,8.6603,9.4868,6.4031,6.7823,7.2801,7.874,8.544,9.2736,7.6811,8.124,8.6603,9.2736,9.9499,9.4868,10.05,10.677,3.7417,3,2.8284,2.4495,2.2361,2.4495,2.2361,2,2.2361,2.8284,3.6056,2.4495,2.2361,2.4495,3,3.7417,2.8284,3,3.4641,4.1231,4.899,3.6056,3.7417,4.1231,4.6904,5.3852,6.1644,7,4.4721,4.5826,4.899,5.3852,6,6.7082,7.4833,8.3066,5.4772,5.7446,6.1644,6.7082,7.3485,8.0623,8.8318,6.6332,7,7.4833,8.0623,8.7178,9.434,7.874,8.3066,8.8318,9.434,10.1,9.1652,9.6437,10.198,10.817,4.3589,3.7417,3.6056,3.3166,3.1623,3.3166,3.1623,3,3.1623,3.6056,3.1623,3.3166,3.7417,4.3589,3.6056,3.7417,4.1231,4.6904,5.3852,4.3589,4.6904,5.1962,5.831,6.5574,7.3485,5.099,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,5.9161,6.1644,6.5574,7.0711,7.6811,8.3666,9.1104,7,7.3485,7.8102,8.3666,9,9.6954,8.1854,8.6023,9.1104,9.6954,9.434,9.8995,5,4.4721,4.1231,4.2426,4,4.1231,4.4721,4.1231,4.2426,4.5826,5.099,4.4721,4.5826,4.899,5.3852,6,5.099,5.3852,5.831,6.4031,7.0711,5.7446,6,6.4031,6.9282,7.5498,8.2462,6.4807,6.7082,7.0711,7.5498,8.124,8.775,9.4868,7.4833,7.8102,8.2462,8.775,9.3808,10.05,8.6023,9,9.4868,10.05,10.247,5.831,5.3852,5.099,5.1962,5.099,5.3852,5.1962,5.4772,5.4772,5.7446,6.1644,6.1644,6.5574,7.0711,6.7082,7.0711,7.5498,8.124,7.6811,8.124,8.6603,8.3666,8.775,9.2736,9.1104,9.4868,6.0828,6.1644,6.4031,6.6332,7,7,7.3485,7.8102,7.4833,7.8102,8.2462,8.775,8.3666,8.775,9.3808
2.2361,1.4142,1,0,1.4142,1,1.4142,2.2361,2.2361,2,2.2361,2.8284,3.6056,3,3.1623,3.6056,4.2426,5,4,4.1231,4.4721,5,5.6569,6.4031,7.2111,5.099,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,6.3246,6.7082,7.2111,7.8102,8.4853,8.0623,8.6023,9.2195,9.434,3.7417,3,2.4495,2.4495,1.7321,1.4142,2.2361,1.4142,1,1.4142,2.2361,2.4495,1.7321,1.4142,1.7321,2.4495,2.4495,2.2361,2.4495,3,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,4.2426,4.1231,4.2426,4.5826,5.099,5.7446,6.4807,7.2801,5.099,5.1962,5.4772,5.9161,6.4807,7.1414,7.874,8.6603,6.1644,6.4031,6.7823,7.2801,7.874,8.544,7.3485,7.6811,8.124,8.6603,9.2736,9,9.4868,10.05,4.1231,3.4641,3,3,2.4495,2.2361,2.8284,2.2361,2,2.2361,2.8284,3,2.4495,2.2361,2.4495,3,3,2.8284,3,3.4641,4.1231,3.7417,3.6056,3.7417,4.1231,4.6904,5.3852,6.1644,4.5826,4.4721,4.5826,4.899,5.3852,6,6.7082,7.4833,5.3852,5.4772,5.7446,6.1644,6.7082,7.3485,8.0623,6.4031,6.6332,7,7.4833,8.0623,8.7178,7.5498,7.874,8.3066,8.8318,9.434,8.775,9.1652,9.6437,10.198,4.6904,4.1231,3.7417,3.7417,3.3166,3.1623,3.6056,3.1623,3,3.1623,3.3166,3.1623,3.3166,3.7417,3.7417,3.6056,3.7417,4.1231,4.6904,4.2426,4.3589,4.6904,5.1962,5.831,6.5574,5,5.099,5.3852,5.831,6.4031,7.0711,7.8102,5.831,5.9161,6.1644,6.5574,7.0711,7.6811,8.3666,6.7823,7,7.3485,7.8102,8.3666,9,7.874,8.1854,8.6023,9.1104,9.0554,9.434,5.099,4.5826,4.2426,4.1231,4.1231,4,4.1231,4.2426,4.1231,4.2426,4.5826,4.5826,4.4721,4.5826,4.899,5.3852,5,5.099,5.3852,5.831,6.4031,5.6569,5.7446,6,6.4031,6.9282,7.5498,6.4031,6.4807,6.7082,7.0711,7.5498,8.124,8.775,7.2801,7.4833,7.8102,8.2462,8.775,9.3808,8.3066,8.6023,9,9.4868,9.798,5.9161,5.4772,5.1962,5.099,5,5.099,5.099,5.1962,5.3852,5.4772,5.7446,5.9161,6.1644,6.5574,6.4807,6.7082,7.0711,7.5498,7.3485,7.6811,8.124,8.0623,8.3666,8.775,8.8318,9.1104,6,6.0828,6.1644,6.4031,6.6332,6.7823,7,7.3485,7.2801,7.4833,7.8102,8.2462,8.0623,8.3666,9
2.2361,2,1,1.4142,0,1,2,3,1,1.4142,2.2361,3.1623,4.1231,2.2361,2.8284,3.6056,4.4721,5.3852,3.1623,3.6056,4.2426,5,5.831,6.7082,7.6158,4.4721,5,5.6569,6.4031,7.2111,8.0623,8.9443,5.831,6.4031,7.0711,7.8102,8.6023,7.8102,8.4853,9.2195,9.2195,4.2426,3.3166,3.1623,2.4495,2.2361,2.4495,1.7321,1.4142,1.7321,2.4495,3.3166,1.4142,1,1.4142,2.2361,3.1623,1.4142,1.7321,2.4495,3.3166,4.2426,2.2361,2.4495,3,3.7417,4.5826,5.4772,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,6.7823,7.6811,4.2426,4.5826,5.099,5.7446,6.4807,7.2801,8.124,9,5.4772,5.9161,6.4807,7.1414,7.874,8.6603,6.7823,7.2801,7.874,8.544,9.2736,8.6603,9.2736,9.9499,4.5826,3.7417,3.6056,3,2.8284,3,2.4495,2.2361,2.4495,3,3.7417,2.2361,2,2.2361,2.8284,3.6056,2.2361,2.4495,3,3.7417,4.5826,2.8284,3,3.4641,4.1231,4.899,5.7446,6.6332,3.6056,3.7417,4.1231,4.6904,5.3852,6.1644,7,7.874,4.5826,4.899,5.3852,6,6.7082,7.4833,8.3066,5.7446,6.1644,6.7082,7.3485,8.0623,8.8318,7,7.4833,8.0623,8.7178,9.434,8.3066,8.8318,9.434,10.1,5.099,4.3589,4.2426,3.7417,3.6056,3.7417,3.3166,3.1623,3.3166,3.7417,3,3.1623,3.6056,4.2426,3.1623,3.3166,3.7417,4.3589,5.099,3.7417,4.1231,4.6904,5.3852,6.1644,7,4.3589,4.6904,5.1962,5.831,6.5574,7.3485,8.1854,5.099,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,6.1644,6.5574,7.0711,7.6811,8.3666,9.1104,7.3485,7.8102,8.3666,9,8.6023,9.1104,5.6569,5,4.4721,4.5826,4.1231,4.2426,4.5826,4,4.1231,4.4721,5,4.1231,4.2426,4.5826,5.099,5.7446,4.5826,4.899,5.3852,6,6.7082,5.099,5.3852,5.831,6.4031,7.0711,7.8102,5.7446,6,6.4031,6.9282,7.5498,8.2462,9,6.7082,7.0711,7.5498,8.124,8.775,9.4868,7.8102,8.2462,8.775,9.3808,9.4868,6.4031,5.831,5.3852,5.4772,5.1962,5.4772,5.099,5.3852,5.1962,5.4772,5.9161,5.7446,6.1644,6.7082,6.1644,6.5574,7.0711,7.6811,7.0711,7.5498,8.124,7.6811,8.124,8.6603,8.3666,8.775,6.1644,6.0828,6.3246,6.4031,6.7823,6.6332,7,7.4833,7,7.3485,7.8102,8.3666,7.8102,8.2462,8.775
2.8284,2.2361,1.4142,1,1,0,1,2,1.4142,1,1.4142,2.2361,3.1623,2,2.2361,2.8284,3.6056,4.4721,3,3.1623,3.6056,4.2426,5,5.831,6.7082,4.1231,4.4721,5,5.6569,6.4031,7.2111,8.0623,5.3852,5.831,6.4031,7.0711,7.8102,7.2111,7.8102,8.4853,8.6023,4.5826,3.7417,3.3166,3,2.4495,2.2361,2.4495,1.7321,1.4142,1.7321,2.4495,2.2361,1.4142,1,1.4142,2.2361,1.7321,1.4142,1.7321,2.4495,3.3166,2.4495,2.2361,2.4495,3,3.7417,4.5826,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,6.7823,4.1231,4.2426,4.5826,5.099,5.7446,6.4807,7.2801,8.124,5.1962,5.4772,5.9161,6.4807,7.1414,7.874,6.4031,6.7823,7.2801,7.874,8.544,8.124,8.6603,9.2736,4.899,4.1231,3.7417,3.4641,3,2.8284,3,2.4495,2.2361,2.4495,3,2.8284,2.2361,2,2.2361,2.8284,2.4495,2.2361,2.4495,3,3.7417,3,2.8284,3,3.4641,4.1231,4.899,5.7446,3.7417,3.6056,3.7417,4.1231,4.6904,5.3852,6.1644,7,4.4721,4.5826,4.899,5.3852,6,6.7082,7.4833,5.4772,5.7446,6.1644,6.7082,7.3485,8.0623,6.6332,7,7.4833,8.0623,8.7178,7.874,8.3066,8.8318,9.434,5.3852,4.6904,4.3589,4.1231,3.7417,3.6056,3.7417,3.3166,3.1623,3.3166,3.1623,3,3.1623,3.6056,3.3166,3.1623,3.3166,3.7417,4.3589,3.6056,3.7417,4.1231,4.6904,5.3852,6.1644,4.2426,4.3589,4.6904,5.1962,5.831,6.5574,7.3485,5,5.099,5.3852,5.831,6.4031,7.0711,7.8102,5.9161,6.1644,6.5574,7.0711,7.6811,8.3666,7,7.3485,7.8102,8.3666,8.1854,8.6023,5.7446,5.099,4.5826,4.4721,4.2426,4.1231,4.2426,4.1231,4,4.1231,4.4721,4.2426,4.1231,4.2426,4.5826,5.099,4.4721,4.5826,4.899,5.3852,6,5,5.099,5.3852,5.831,6.4031,7.0711,5.6569,5.7446,6,6.4031,6.9282,7.5498,8.2462,6.4807,6.7082,7.0711,7.5498,8.124,8.775,7.4833,7.8102,8.2462,8.775,9,6.4807,5.9161,5.4772,5.3852,5.099,5.1962,5,5.099,5.099,5.1962,5.4772,5.4772,5.7446,6.1644,5.9161,6.1644,6.5574,7.0711,6.7082,7.0711,7.5498,7.3485,7.6811,8.124,8.0623,8.3666,6.0828,6,6.0828,6.1644,6.4031,6.4031,6.6332,7,6.7823,7,7.3485,7.8102,7.4833,7.8102,8.3666
3.6056,2.8284,2.2361,1.4142,2,1,0,1,2.2361,1.4142,1,1.4142,2.2361,2.2361,2,2.2361,2.8284,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,5.831,4,4.1231,4.4721,5,5.6569,6.4031,7.2111,5.099,5.3852,5.831,6.4031,7.0711,6.7082,7.2111,7.8102,8.0623,5.099,4.3589,3.7417,3.7417,3,2.4495,3.3166,2.4495,1.7321,1.4142,1.7321,3.1623,2.2361,1.4142,1,1.4142,2.4495,1.7321,1.4142,1.7321,2.4495,3,2.4495,2.2361,2.4495,3,3.7417,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,4.2426,4.1231,4.2426,4.5826,5.099,5.7446,6.4807,7.2801,5.099,5.1962,5.4772,5.9161,6.4807,7.1414,6.1644,6.4031,6.7823,7.2801,7.874,7.6811,8.124,8.6603,5.3852,4.6904,4.1231,4.1231,3.4641,3,3.7417,3,2.4495,2.2361,2.4495,3.6056,2.8284,2.2361,2,2.2361,3,2.4495,2.2361,2.4495,3,3.4641,3,2.8284,3,3.4641,4.1231,4.899,4.1231,3.7417,3.6056,3.7417,4.1231,4.6904,5.3852,6.1644,4.5826,4.4721,4.5826,4.899,5.3852,6,6.7082,5.3852,5.4772,5.7446,6.1644,6.7082,7.3485,6.4031,6.6332,7,7.4833,8.0623,7.5498,7.874,8.3066,8.8318,5.831,5.1962,4.6904,4.6904,4.1231,3.7417,4.3589,3.7417,3.3166,3.1623,3.6056,3.1623,3,3.1623,3.7417,3.3166,3.1623,3.3166,3.7417,3.7417,3.6056,3.7417,4.1231,4.6904,5.3852,4.3589,4.2426,4.3589,4.6904,5.1962,5.831,6.5574,5.099,5,5.099,5.3852,5.831,6.4031,7.0711,5.831,5.9161,6.1644,6.5574,7.0711,7.6811,6.7823,7,7.3485,7.8102,7.874,8.1854,6,5.3852,4.899,4.5826,4.5826,4.2426,4.1231,4.4721,4.1231,4,4.1231,4.5826,4.2426,4.1231,4.2426,4.5826,4.5826,4.4721,4.5826,4.899,5.3852,5.099,5,5.099,5.3852,5.831,6.4031,5.7446,5.6569,5.7446,6,6.4031,6.9282,7.5498,6.4031,6.4807,6.7082,7.0711,7.5498,8.124,7.2801,7.4833,7.8102,8.2462,8.6023,6.7082,6.1644,5.7446,5.4772,5.1962,5.099,5.099,5,5.1962,5.099,5.1962,5.3852,5.4772,5.7446,5.831,5.9161,6.1644,6.5574,6.4807,6.7082,7.0711,7.1414,7.3485,7.6811,7.874,8.0623,6.1644,6.0828,6,6.0828,6.1644,6.3246,6.4031,6.6332,6.7082,6.7823,7,7.3485,7.2801,7.4833,8.0623
4.4721,3.6056,3.1623,2.2361,3,2,1,0,3.1623,2.2361,1.4142,1,1.4142,2.8284,2.2361,2,2.2361,2.8284,3.6056,3.1623,3,3.1623,3.6056,4.2426,5,4.1231,4,4.1231,4.4721,5,5.6569,6.4031,5,5.099,5.3852,5.831,6.4031,6.3246,6.7082,7.2111,7.6158,5.7446,5.099,4.3589,4.5826,3.7417,3,4.2426,3.3166,2.4495,1.7321,1.4142,4.1231,3.1623,2.2361,1.4142,1,3.3166,2.4495,1.7321,1.4142,1.7321,3.7417,3,2.4495,2.2361,2.4495,3,4.3589,3.7417,3.3166,3.1623,3.3166,3.7417,4.3589,5.099,4.5826,4.2426,4.1231,4.2426,4.5826,5.099,5.7446,6.4807,5.1962,5.099,5.1962,5.4772,5.9161,6.4807,6.0828,6.1644,6.4031,6.7823,7.2801,7.3485,7.6811,8.124,6,5.3852,4.6904,4.899,4.1231,3.4641,4.5826,3.7417,3,2.4495,2.2361,4.4721,3.6056,2.8284,2.2361,2,3.7417,3,2.4495,2.2361,2.4495,4.1231,3.4641,3,2.8284,3,3.4641,4.1231,4.6904,4.1231,3.7417,3.6056,3.7417,4.1231,4.6904,5.3852,4.899,4.5826,4.4721,4.5826,4.899,5.3852,6,5.4772,5.3852,5.4772,5.7446,6.1644,6.7082,6.3246,6.4031,6.6332,7,7.4833,7.3485,7.5498,7.874,8.3066,6.4031,5.831,5.1962,5.3852,4.6904,4.1231,5.099,4.3589,3.7417,3.3166,4.2426,3.6056,3.1623,3,4.3589,3.7417,3.3166,3.1623,3.3166,4.1231,3.7417,3.6056,3.7417,4.1231,4.6904,4.6904,4.3589,4.2426,4.3589,4.6904,5.1962,5.831,5.3852,5.099,5,5.099,5.3852,5.831,6.4031,5.9161,5.831,5.9161,6.1644,6.5574,7.0711,6.7082,6.7823,7,7.3485,7.6811,7.874,6.4031,5.831,5.3852,4.899,5.099,4.5826,4.2426,5,4.4721,4.1231,4,5.099,4.5826,4.2426,4.1231,4.2426,4.899,4.5826,4.4721,4.5826,4.899,5.3852,5.099,5,5.099,5.3852,5.831,6,5.7446,5.6569,5.7446,6,6.4031,6.9282,6.4807,6.4031,6.4807,6.7082,7.0711,7.5498,7.2111,7.2801,7.4833,7.8102,8.3066,7.0711,6.5574,6.1644,5.7446,5.4772,5.1962,5.3852,5.099,5.4772,5.1962,5.099,5.4772,5.3852,5.4772,5.9161,5.831,5.9161,6.1644,6.4031,6.4807,6.7082,7.0711,7.1414,7.3485,7.8102,7.874,6.4031,6.3246,6.0828,6.1644,6.0828,6.4031,6.3246,6.4031,6.7823,6.7082,6.7823,7,7.2111,7.2801,7.874
3.1623,3,2,2.2361,1,1.4142,2.2361,3.1623,0,1,2,3,4,1.4142,2.2361,3.1623,4.1231,5.099,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,7.2801,3.6056,4.2426,5,5.831,6.7082,7.6158,8.544,5,5.6569,6.4031,7.2111,8.0623,7.0711,7.8102,8.6023,8.4853,5.1962,4.2426,4.1231,3.3166,3.1623,3.3166,2.4495,2.2361,2.4495,3,3.7417,1.7321,1.4142,1.7321,2.4495,3.3166,1,1.4142,2.2361,3.1623,4.1231,1.4142,1.7321,2.4495,3.3166,4.2426,5.1962,2.2361,2.4495,3,3.7417,4.5826,5.4772,6.4031,7.3485,3.3166,3.7417,4.3589,5.099,5.9161,6.7823,7.6811,8.6023,4.5826,5.099,5.7446,6.4807,7.2801,8.124,5.9161,6.4807,7.1414,7.874,8.6603,7.874,8.544,9.2736,5.4772,4.5826,4.4721,3.7417,3.6056,3.7417,3,2.8284,3,3.4641,4.1231,2.4495,2.2361,2.4495,3,3.7417,2,2.2361,2.8284,3.6056,4.4721,2.2361,2.4495,3,3.7417,4.5826,5.4772,6.4031,2.8284,3,3.4641,4.1231,4.899,5.7446,6.6332,7.5498,3.7417,4.1231,4.6904,5.3852,6.1644,7,7.874,4.899,5.3852,6,6.7082,7.4833,8.3066,6.1644,6.7082,7.3485,8.0623,8.8318,7.4833,8.0623,8.7178,9.434,5.9161,5.099,5,4.3589,4.2426,4.3589,3.7417,3.6056,3.7417,4.1231,3.1623,3.3166,3.7417,4.3589,3,3.1623,3.6056,4.2426,5,3.3166,3.7417,4.3589,5.099,5.9161,6.7823,3.7417,4.1231,4.6904,5.3852,6.1644,7,7.874,4.3589,4.6904,5.1962,5.831,6.5574,7.3485,8.1854,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,6.5574,7.0711,7.6811,8.3666,7.8102,8.3666,6.4031,5.6569,5,5.099,4.4721,4.5826,4.899,4.1231,4.2426,4.5826,5.099,4,4.1231,4.4721,5,5.6569,4.2426,4.5826,5.099,5.7446,6.4807,4.5826,4.899,5.3852,6,6.7082,7.4833,5.099,5.3852,5.831,6.4031,7.0711,7.8102,8.6023,6,6.4031,6.9282,7.5498,8.2462,9,7.0711,7.5498,8.124,8.775,8.775,7.0711,6.4031,5.831,5.9161,5.4772,5.7446,5.1962,5.4772,5.099,5.3852,5.831,5.4772,5.9161,6.4807,5.7446,6.1644,6.7082,7.3485,6.5574,7.0711,7.6811,7.0711,7.5498,8.124,7.6811,8.124,6.4031,6.1644,6.4031,6.3246,6.7082,6.4031,6.7823,7.2801,6.6332,7,7.4833,8.0623,7.3485,7.8102,8.2462
3.6056,3.1623,2.2361,2,1.4142,1,1.4142,2.2361,1,0,1,2,3,1,1.4142,2.2361,3.1623,4.1231,2,2.2361,2.8284,3.6056,4.4721,5.3852,6.3246,3.1623,3.6056,4.2426,5,5.831,6.7082,7.6158,4.4721,5,5.6569,6.4031,7.2111,6.4031,7.0711,7.8102,7.8102,5.4772,4.5826,4.2426,3.7417,3.3166,3.1623,3,2.4495,2.2361,2.4495,3,2.4495,1.7321,1.4142,1.7321,2.4495,1.4142,1,1.4142,2.2361,3.1623,1.7321,1.4142,1.7321,2.4495,3.3166,4.2426,2.4495,2.2361,2.4495,3,3.7417,4.5826,5.4772,6.4031,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,6.7823,7.6811,4.2426,4.5826,5.099,5.7446,6.4807,7.2801,5.4772,5.9161,6.4807,7.1414,7.874,7.2801,7.874,8.544,5.7446,4.899,4.5826,4.1231,3.7417,3.6056,3.4641,3,2.8284,3,3.4641,3,2.4495,2.2361,2.4495,3,2.2361,2,2.2361,2.8284,3.6056,2.4495,2.2361,2.4495,3,3.7417,4.5826,5.4772,3,2.8284,3,3.4641,4.1231,4.899,5.7446,6.6332,3.6056,3.7417,4.1231,4.6904,5.3852,6.1644,7,4.5826,4.899,5.3852,6,6.7082,7.4833,5.7446,6.1644,6.7082,7.3485,8.0623,7,7.4833,8.0623,8.7178,6.1644,5.3852,5.099,4.6904,4.3589,4.2426,4.1231,3.7417,3.6056,3.7417,3.3166,3.1623,3.3166,3.7417,3.1623,3,3.1623,3.6056,4.2426,3.1623,3.3166,3.7417,4.3589,5.099,5.9161,3.6056,3.7417,4.1231,4.6904,5.3852,6.1644,7,4.2426,4.3589,4.6904,5.1962,5.831,6.5574,7.3485,5.099,5.3852,5.831,6.4031,7.0711,7.8102,6.1644,6.5574,7.0711,7.6811,7.3485,7.8102,6.4807,5.7446,5.099,5,4.5826,4.4721,4.5826,4.2426,4.1231,4.2426,4.5826,4.1231,4,4.1231,4.4721,5,4.1231,4.2426,4.5826,5.099,5.7446,4.4721,4.5826,4.899,5.3852,6,6.7082,5,5.099,5.3852,5.831,6.4031,7.0711,7.8102,5.7446,6,6.4031,6.9282,7.5498,8.2462,6.7082,7.0711,7.5498,8.124,8.2462,7.1414,6.4807,5.9161,5.831,5.3852,5.4772,5.099,5.1962,5,5.099,5.3852,5.1962,5.4772,5.9161,5.4772,5.7446,6.1644,6.7082,6.1644,6.5574,7.0711,6.7082,7.0711,7.5498,7.3485,7.6811,6.3246,6.0828,6.1644,6.0828,6.3246,6.1644,6.4031,6.7823,6.4031,6.6332,7,7.4833,7,7.3485,7.8102
